task_id,configuration,external_success,judge_score,answer_words,tokens,tool_calls,latency_s
t01,A,1,0.72,410,3200,5,18
t01,B,1,0.86,910,6900,11,39
t02,A,1,0.70,390,3000,4,16
t02,B,1,0.84,870,6500,10,36
t03,A,0,0.55,350,2900,4,15
t03,B,1,0.82,940,7200,12,42
t04,A,1,0.74,430,3300,5,17
t04,B,1,0.88,980,7500,12,44
t05,A,1,0.73,420,3250,5,18
t05,B,1,0.87,960,7300,12,41
t06,A,0,0.50,310,2700,4,14
t06,B,0,0.76,850,6400,10,35
t07,A,1,0.71,400,3100,5,17
t07,B,1,0.85,920,7000,11,40
t08,A,1,0.75,440,3400,5,19
t08,B,1,0.89,990,7600,12,45
t09,A,0,0.53,330,2800,4,15
t09,B,0,0.78,880,6600,10,37
t10,A,1,0.72,415,3150,5,18
t10,B,1,0.86,930,7100,11,41
t11,A,1,0.69,380,2950,4,16
t11,B,1,0.83,900,6800,11,38
t12,A,0,0.51,320,2750,4,15
t12,B,0,0.79,890,6700,10,37
